,DRIVER_ID,AGE,NUMBER_OF_TRIPS,SAFETY_SCORE,REWARD_POINTS,TOTAL_MILES_DONE,MILES_IN_URBAN,MILES_IN_NIGHT,MILES DONE IN RURAL,ACCELERATION,BRAKING,CORNERING,SPEEDING,SEATBELT,DISTRACTION,NUMBER_OF_TICKETS_RECEIVED
81,281,24,802,53,3579,782713,472034,531557,1786304,48,27,34,69,57,22,1
82,282,28,15,63,4530,774491,850466,337485,1962442,47,31,69,1,58,0,8
83,283,54,802,62,5319,235507,920977,795693,1952177,38,5,4,20,72,68,23
84,284,54,363,50,690,77359,317091,893843,1288293,45,10,69,7,27,28,7
85,285,44,588,77,2880,367407,711479,869348,1948234,58,17,6,56,64,18,20
86,286,31,792,95,5164,567081,289331,618675,1475087,70,22,21,66,18,45,12
87,287,44,645,51,5140,680676,115521,457700,1253897,47,57,65,15,30,55,1
88,288,38,749,81,8635,755676,53325,586301,1395302,58,9,30,46,68,46,0
89,289,49,810,68,6515,701529,433711,298377,1433617,37,34,47,9,12,10,23
90,290,21,286,47,9609,87353,138043,970608,1196004,15,68,34,19,3,62,19
91,291,45,210,88,9477,409931,853601,788434,2051966,0,23,49,2,36,28,3
92,292,40,530,60,5870,763860,90304,32684,886848,38,2,70,38,28,32,12
93,293,45,706,62,5132,467050,733860,779838,1980748,58,56,63,35,72,49,15
94,294,36,719,55,9719,932422,365504,253596,1551522,37,13,20,46,43,73,7
95,295,50,968,55,7612,265543,401765,317125,984433,55,59,36,13,1,61,1
96,296,41,98,51,69,786868,13457,451418,1251743,44,37,68,7,22,37,24
97,297,48,225,97,9021,387007,630513,693303,1710823,55,8,56,28,41,29,3
98,298,40,621,81,1998,413417,202105,22715,638237,21,14,61,64,15,45,11
99,299,22,363,51,6724,811508,810718,168955,1791181,73,63,28,27,38,27,0
100,300,30,510,87,7123,777433,246198,958246,1981877,61,62,55,54,36,54,5
101,301,29,108,56,6149,912246,408141,95822,1416209,47,73,50,4,58,56,15
102,302,34,826,54,3487,854369,922981,873902,2651252,17,22,50,49,8,32,16
103,303,44,71,78,3376,152421,814114,363076,1329611,3,23,34,23,54,39,17
104,304,43,154,48,5610,101950,362708,501635,966293,18,53,20,22,19,15,11
105,305,44,84,94,5578,185855,73180,528653,787688,34,27,56,51,70,39,11
106,306,41,731,97,3413,309730,192386,17868,519984,8,50,69,26,2,27,12
107,307,35,889,59,2579,756436,185519,296356,1238311,9,10,54,18,0,3,13
108,308,53,674,89,239,644269,585384,576687,1806340,13,66,11,34,63,39,7
109,309,42,585,53,2147,440359,938902,426360,1805621,52,66,48,40,60,27,10
110,310,32,169,47,8298,168107,459760,576831,1204698,29,67,37,42,29,9,8
111,311,45,348,71,5859,982184,138063,76526,1196773,63,41,43,49,42,10,11
112,312,37,427,55,7118,658619,608228,354166,1621013,48,43,61,21,51,56,0
113,313,33,458,71,2222,780518,404779,866107,2051404,57,52,23,39,66,5,12
114,314,37,792,64,6764,509022,24873,531367,1065262,18,64,49,33,19,38,14
115,315,49,881,60,7699,912116,790126,66303,1768545,11,17,60,20,52,25,4
116,316,21,160,78,9694,212312,108227,627638,948177,28,64,25,23,32,65,10
117,317,22,176,79,6233,80757,61991,71909,214657,51,29,26,17,27,64,16
118,318,23,289,97,9128,165514,235327,242658,643499,64,52,19,71,25,7,16
119,319,35,953,59,9653,701974,150306,701739,1554019,14,36,50,2,19,50,2
120,320,49,785,72,7080,140187,619672,555130,1314989,0,31,51,59,4,32,3
121,321,45,547,52,9216,708682,382996,62725,1154403,17,67,49,1,37,29,1
122,322,53,230,97,1293,588611,745475,756385,2090471,3,13,66,36,5,7,24
123,323,21,440,76,9663,564246,195435,757155,1516836,5,6,31,44,62,30,20
124,324,45,971,64,7918,968099,825798,872966,2666863,72,67,40,43,45,53,10
125,325,40,451,98,5943,753068,617987,898006,2269061,73,43,65,56,18,62,22
126,326,45,18,75,9974,6521,469112,494431,970064,57,68,44,15,63,65,6
127,327,54,806,53,8644,409591,539120,486533,1435244,7,40,10,58,54,64,11
128,328,27,934,74,4835,582966,917001,253296,1753263,25,22,31,61,42,20,21
129,329,45,606,75,3051,579195,696378,98591,1374164,11,26,52,61,51,47,2
130,330,44,757,69,2568,6478,672006,769583,1448067,14,34,37,31,70,39,12
131,331,44,434,53,8461,803499,947498,737530,2488527,73,56,67,18,39,29,10
132,332,21,572,68,6436,57638,408955,516328,982921,56,22,57,41,12,62,13
133,333,31,433,98,993,389326,474371,884709,1748406,16,8,74,23,3,10,20
134,334,45,269,82,9319,909984,71149,590538,1571671,7,10,25,72,66,28,8
135,335,46,566,83,7679,522674,673472,329797,1525943,72,19,40,45,66,47,19
136,336,52,338,74,8067,77526,729383,488259,1295168,69,29,73,8,60,62,5
137,337,33,615,47,9986,580701,313019,590229,1483949,46,20,55,69,66,32,1
138,338,30,505,74,835,407176,172844,101874,681894,24,8,27,55,38,46,20
139,339,46,746,68,9122,422490,835723,779998,2038211,33,57,6,52,26,43,14
140,340,31,284,51,3927,403760,707218,46890,1157868,32,62,3,48,18,66,16
141,341,25,151,55,3685,632383,883494,625137,2141014,68,26,5,27,57,15,15
142,342,26,654,76,7808,828676,485142,857477,2171295,0,38,5,45,64,51,23
143,343,28,54,63,130,186910,823553,156360,1166823,16,36,10,69,21,61,12
144,344,46,233,48,2297,434268,903160,863805,2201233,42,33,48,9,21,63,18
145,345,27,487,55,8133,813959,579015,65967,1458941,58,69,2,56,74,61,12
146,346,32,828,60,9176,614419,867510,724059,2205988,73,23,56,46,64,18,10
147,347,42,754,52,4294,821817,461952,561653,1845422,52,14,21,67,0,17,0
148,348,52,478,94,5465,307420,278063,847086,1432569,60,41,27,66,15,13,2
149,349,48,182,59,1961,100732,561244,247786,909762,27,5,74,71,57,48,21
150,350,18,275,84,5034,798939,315801,432584,1547324,34,64,71,61,2,21,3
151,351,50,921,93,505,147102,502510,510185,1159797,57,59,17,44,23,33,17
152,352,43,681,50,4422,861305,471953,939290,2272548,23,26,7,11,26,50,4
153,353,22,48,45,507,460125,390036,272479,1122640,35,61,37,62,15,45,22
154,354,31,541,93,4981,629272,568881,172821,1370974,50,35,12,52,61,14,0
155,355,18,138,85,2002,381429,250498,980051,1611978,35,71,63,19,17,59,23
156,356,22,307,77,9895,39785,984797,848876,1873458,57,4,1,5,45,9,18
157,357,35,912,93,6819,780803,404107,542037,1726947,26,28,43,48,68,2,10
158,358,50,731,81,1421,529619,532616,798449,1860684,29,19,48,41,3,56,15
159,359,42,275,66,6123,602783,106476,120879,830138,28,58,67,61,23,65,22
160,360,52,315,47,9738,295076,337985,495014,1128075,63,8,29,31,54,28,1
161,361,25,180,52,137,617340,749830,697687,2064857,31,64,12,58,52,67,23
162,362,28,563,92,5183,946530,278432,227947,1452909,22,22,7,57,8,3,2
163,363,46,120,63,2433,874785,612595,756868,2244248,42,34,38,18,41,4,16
164,364,53,753,70,360,90879,719864,661911,1472654,19,49,45,30,59,12,12
165,365,39,685,67,9684,851294,97401,179750,1128445,21,57,9,3,49,22,20
166,366,18,344,97,6756,661958,324120,648238,1634316,24,63,24,41,50,21,18
167,367,50,617,51,546,829721,258754,445336,1533811,69,10,57,48,28,59,6
168,368,51,876,48,7341,746341,876762,779083,2402186,39,55,1,51,36,62,19
169,369,31,219,88,1092,415466,777067,656553,1849086,70,6,60,14,28,25,17
170,370,25,55,96,3436,647183,971381,295435,1913999,22,12,42,41,18,73,8
171,371,25,649,45,1645,713461,203546,812344,1729351,50,0,31,33,42,72,12
172,372,21,868,50,4621,811709,395734,154942,1362385,71,6,32,26,41,64,24
173,373,37,195,91,494,863411,752594,850792,2466797,57,21,43,69,58,60,1
174,374,40,373,86,9502,113761,131237,393314,638312,16,3,13,27,16,20,18
175,375,19,628,51,3256,786903,4848,274177,1065928,24,17,20,52,71,2,19
176,376,44,411,47,1819,170335,957409,288912,1416656,21,46,30,15,20,31,23
177,377,48,290,74,6302,24607,322838,916728,1264173,22,20,38,70,45,38,4
178,378,24,736,64,4281,641655,260744,239008,1141407,67,68,54,37,2,20,7
179,379,37,454,92,9191,681175,247381,302985,1231541,62,20,4,57,48,28,23
180,380,45,799,49,2661,745805,782577,288187,1816569,49,70,50,28,72,13,5
181,381,45,196,92,2681,714941,167129,247742,1129812,52,66,3,45,63,58,9
182,382,37,285,51,9842,575950,957593,529415,2062958,14,20,15,41,41,19,15
183,383,50,659,88,8373,652158,450842,904413,2007413,58,53,12,16,62,65,0
184,384,47,618,64,4333,567707,448709,1572,1017988,32,36,43,39,50,3,7
185,385,18,208,84,7408,693917,14277,453819,1162013,59,54,40,51,59,15,4
186,386,54,568,98,8753,867936,864421,358627,2090984,24,53,19,32,45,57,2
187,387,34,276,68,1635,170897,432858,938206,1541961,7,9,72,3,29,42,2
188,388,47,479,75,9849,826456,571164,920951,2318571,74,6,38,37,6,39,7
189,389,50,358,89,4386,155646,13774,504976,674396,45,71,72,25,55,65,13
190,390,19,638,69,3797,291225,353322,178951,823498,56,25,42,59,30,31,9
191,391,38,761,64,5998,369311,127191,374935,871437,4,9,14,5,8,53,3
192,392,36,866,82,1750,529317,456751,436836,1422904,38,52,22,48,46,29,13
193,393,34,456,67,4889,955647,842584,130683,1928914,11,31,18,57,10,12,15
194,394,24,692,73,4898,877047,189763,496287,1563097,52,44,39,72,15,70,23
195,395,21,450,90,725,181009,70412,757488,1008909,61,6,10,41,55,37,20
196,396,36,471,47,4002,941115,857574,939083,2737772,15,67,53,3,45,15,15
197,397,47,532,66,7766,382673,764051,234869,1381593,72,9,42,45,9,63,22
198,398,18,774,65,4145,624921,851895,348585,1825401,19,9,20,5,6,50,17
199,399,28,589,75,7159,607701,765745,60796,1434242,49,4,37,18,0,72,16
200,400,18,125,52,3401,82864,100458,84129,267451,60,19,66,60,30,4,14
201,401,49,546,54,4073,205910,942495,230164,1378569,2,62,3,1,74,28,21
202,402,18,221,53,8961,145863,963171,115023,1224057,17,10,49,54,2,33,17
203,403,48,571,71,6671,646770,303458,644708,1594936,45,53,38,60,66,22,18
204,404,24,507,66,1701,298952,349458,498687,1147097,70,74,8,18,29,61,24
205,405,32,990,97,3798,436419,370097,84602,891118,4,28,69,28,58,15,14
206,406,20,50,93,6954,426912,614653,830924,1872489,47,52,17,11,15,49,9
207,407,33,453,93,5302,654562,99177,175598,929337,57,40,11,50,57,52,1
208,408,33,277,71,8829,22427,88955,21609,132991,28,3,12,10,61,39,24
209,409,53,235,98,929,97265,693475,614817,1405557,22,65,6,36,31,50,18
210,410,28,904,86,3562,786422,830889,631191,2248502,21,42,70,48,61,26,19
211,411,32,256,60,5220,736327,539279,402975,1678581,52,20,65,0,37,3,5
212,412,50,351,70,1968,697270,159805,191261,1048336,34,29,13,29,39,48,8
213,413,45,765,51,6325,774539,922547,949600,2646686,50,62,14,33,27,6,3
214,414,28,430,87,3974,574423,377598,228029,1180050,7,57,0,74,58,72,4
215,415,43,903,62,3825,550353,83228,930126,1563707,41,43,61,11,21,29,6
216,416,32,564,89,9807,169315,449701,920813,1539829,58,17,13,34,74,57,11
217,417,33,689,49,3916,837889,788104,214596,1840589,9,25,22,22,23,70,21
218,418,48,116,56,7470,711927,803098,815929,2330954,8,35,24,19,60,68,13
219,419,52,428,93,3566,641324,113968,408497,1163789,60,61,25,12,15,70,7
220,420,50,913,71,7059,140750,445780,647647,1234177,73,47,46,10,1,15,19
221,421,18,205,61,8256,470786,542746,78875,1092407,61,41,56,47,34,55,12
222,422,22,615,81,7955,221174,171760,94386,487320,18,62,23,60,32,47,19
223,423,46,565,63,1116,193876,403109,819762,1416747,63,72,17,60,11,59,16
224,424,18,840,61,6317,132331,743411,217639,1093381,56,70,74,56,23,4,20
225,425,39,184,65,8696,803155,844167,390728,2038050,2,31,69,66,14,60,5
226,426,50,38,91,2945,10080,343434,461321,814835,17,24,68,25,45,28,22
227,427,52,837,98,2219,487657,892479,80695,1460831,38,19,41,70,30,10,17
228,428,32,474,91,7469,770426,209031,422402,1401859,6,56,42,41,73,48,24
229,429,54,103,46,4752,806186,11873,542527,1360586,53,23,55,40,15,57,14
230,430,21,593,68,6651,13772,113601,687456,814829,51,32,17,27,29,56,22
231,431,44,30,49,6402,798794,210402,597332,1606528,47,45,57,22,47,66,17
232,432,44,59,85,5239,716126,941654,121802,1779582,49,51,14,34,3,5,2
233,433,31,522,63,8518,624920,694548,845354,2164822,59,3,39,72,62,34,20
234,434,39,269,51,583,637320,709140,870385,2216845,26,66,59,49,53,46,24
235,435,39,687,60,4100,860029,705878,525656,2091563,24,7,22,46,74,12,14
236,436,20,298,55,7985,147731,272703,843046,1263480,0,53,36,13,19,19,13
237,437,22,477,66,2328,860579,600153,181953,1642685,10,8,20,40,36,44,19
238,438,35,613,92,4248,486970,160802,678239,1326011,70,74,74,59,64,17,1
239,439,40,158,68,4040,742049,636402,834183,2212634,16,9,15,40,32,4,9
240,440,48,318,63,8794,963946,698664,723975,2386585,62,53,37,32,35,7,2
241,441,35,650,63,9106,850335,784610,836294,2471239,22,52,34,20,42,66,17
242,442,44,293,55,2448,962178,570945,106260,1639383,54,66,69,53,34,40,21
243,443,46,467,70,9881,374813,645972,255226,1276011,51,73,20,37,48,8,23
244,444,21,993,57,7971,196030,361191,349740,906961,57,53,53,2,19,69,3
245,445,47,168,95,7422,973746,265568,180169,1419483,4,68,28,64,20,61,8
246,446,24,190,90,6401,632816,540134,462190,1635140,41,46,47,39,36,8,4
247,447,33,241,70,9672,15941,29818,918461,964220,39,65,64,74,26,69,0
248,448,30,750,47,6363,291372,414021,139156,844549,40,67,61,73,14,13,0
249,449,44,811,59,2279,52845,753179,510925,1316949,46,1,35,25,55,31,9
250,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
